sentence,intent,language
Pay for insurance installment,insurance_renewal,en
Pay for insurance policy,insurance_renewal,en
Renew insurance,insurance_renewal,en
Make payment for insurance,insurance_renewal,en
Make Payment for insurance policy,insurance_renewal,en
Pay for lic,insurance_renewal,en
Pay for lic policy installment,insurance_renewal,en
Renew lic insurance,insurance_renewal,en
Make payment for lic,insurance_renewal,en
Pay for premium,insurance_renewal,en
Make Payment for insurance premium,insurance_renewal,en
Pay for lic premium,insurance_renewal,en
Pay for lic insurance premium,insurance_renewal,en
Pay for term insurance installment,insurance_renewal,en
Pay for money back policy,insurance_renewal,en
Pay for endowment policy installment,insurance_renewal,en
Renew term insurance,insurance_renewal,en
Make payment for money back insurance policy,insurance_renewal,en
Make Payment for endowment insurance policy,insurance_renewal,en
Pay for lic endowment,insurance_renewal,en
Pay for lic money back policy,insurance_renewal,en
renewing my endowment policy,insurance_renewal,en
Please renew my life term plan,insurance_renewal,en
Making a payment to renew money back policy,insurance_renewal,en
Paying for life insurance plan,insurance_renewal,en
renew my LIC policy,insurance_renewal,en
Renew policy please,insurance_renewal,en
renew insurance plan,insurance_renewal,en
Pay for lic installment,insurance_renewal,en
Making payment for insurance premium,insurance_renewal,en
paying for insurance premium,insurance_renewal,en
Pay for lic endowment using upi,insurance_renewal,en
Upi Payment for lic money back policy,insurance_renewal,en
Upi Pay for term insurance installment,insurance_renewal,en
Pay from upi money back policy,insurance_renewal,en
Upi payment for endowment policy installment,insurance_renewal,en
Renew term insurance through upi account,insurance_renewal,en
Pay for ulip insurance installment,insurance_renewal,en
Pay for ulip insurance policy,insurance_renewal,en
Renew ulip insurance,insurance_renewal,en
Make payment for ulip insurance,insurance_renewal,en
Make Payment for ulip policy,insurance_renewal,en
Pay for ulip,insurance_renewal,en
Pay for ulip policy installment,insurance_renewal,en
Renew ulip insurance,insurance_renewal,en
Make payment for ulip,insurance_renewal,en
Pay for ulip premium,insurance_renewal,en
Make payment using upi balance for money back insurance policy,insurance_renewal,en
Make Payment from upi balance for endowment insurance policy,insurance_renewal,en
Use upi for renewing my endowment policy,insurance_renewal,en
Please renew my life term plan using upi,insurance_renewal,en
Making a payment through upi account to renew money back policy,insurance_renewal,en
Paying for life insurance plan using upi,insurance_renewal,en
Use upi to renew my LIC policy,insurance_renewal,en
Pay through upi to Renew policy please,insurance_renewal,en
Upi payment to renew insurance plan,insurance_renewal,en
Pay for lic installment from upi account,insurance_renewal,en
Making payment for insurance premium using upi balance,insurance_renewal,en
paying from upi for insurance premium,insurance_renewal,en
Need to pay endowment plan premium,insurance_renewal,en
Term policy premium payment pending,insurance_renewal,en
Moneyback plan premium due soon. Pay from upi account,insurance_renewal,en
Life policy premium needs payment,insurance_renewal,en
"Renewing endowment policy, pay premium from upi balance",insurance_renewal,en
Term plan premium payment required through upi,insurance_renewal,en
Money back policy premium overdue,insurance_renewal,en
Life plan premium needs attention,insurance_renewal,en
Endowment plan premium payment pending,insurance_renewal,en
Term policy premium due for renewal,insurance_renewal,en
Moneyback plan premium payment overdue,insurance_renewal,en
Life policy premium requires immediate payment,insurance_renewal,en
"Renewing endowment policy, premium pending",insurance_renewal,en
Term plan premium payment deadline approaching,insurance_renewal,en
Money back policy premium payment required,insurance_renewal,en
Life plan premium needs to be paid,insurance_renewal,en
Endowment plan premium payment overdue,insurance_renewal,en
Term policy premium payment pending renewal,insurance_renewal,en
Moneyback plan premium due for payment,insurance_renewal,en
Life policy premium requires prompt payment,insurance_renewal,en
I'm interested in renewing my insurance policy,insurance_renewal,en
I would like to continue my life insurance coverage and renew my plan,insurance_renewal,en
I intend to extend my insurance policy by renewing it,insurance_renewal,en
planning on renewing my insurance policy to maintain my coverage,insurance_renewal,en
renewing my insurance plan to ensure my protection,insurance_renewal,en
looking to renew my life insurance policy for another term,insurance_renewal,en
renew my insurance plan to keep my coverage up-to-date,insurance_renewal,en
I'm ready to go ahead and renew my insurance policy,insurance_renewal,en
thinking about renewal of my insurance policy to safeguard my assets,insurance_renewal,en
Want renewal of my insurance plan and maintain my peace of mind,insurance_renewal,en
I would like to continue my insurance coverage and renew my plan,insurance_renewal,en
I intend to extend my insurance policy by renewing it,insurance_renewal,en
planning on renewing my insurance policy to maintain my coverage,insurance_renewal,en
renewing my insurance plan to ensure my protection,insurance_renewal,en
looking to renew my insurance policy for another term,insurance_renewal,en
renew my insurance plan to keep my coverage up-to-date,insurance_renewal,en
I'm ready to go ahead and renew my insurance policy,insurance_renewal,en
thinking about renewal of my insurance policy to safeguard my assets,insurance_renewal,en
Want renewal of my insurance plan and maintain my peace of mind,insurance_renewal,en
I need to make a payment for my insurance premium,insurance_renewal,en
I'd like to take care of my life insurance premium payment,insurance_renewal,en
Can I pay for my insurance plan now?,insurance_renewal,en
I want to submit my term policy payment,insurance_renewal,en
"I'd like to pay my insurance premium, please",insurance_renewal,en
I'm looking to pay my insurance premium today,insurance_renewal,en
"I need to pay my insurance premium, can you help me?",insurance_renewal,en
Can you assist me with paying my insurance premium?,insurance_renewal,en
"I'm ready to pay my insurance installment, how can I do it?",insurance_renewal,en
I need to renew my insurance policy,insurance_renewal,en
I'm interested in renewing my insurance policy,insurance_renewal,en
I plan to renew my insurance policy,insurance_renewal,en
I want to extend my insurance policy,insurance_renewal,en
I am considering renewing my insurance policy,insurance_renewal,en
I am looking to renew my insurance policy,insurance_renewal,en
I wish to renew my insurance policy,insurance_renewal,en
Make a payment for the LIC policy,insurance_renewal,en
Help me in policy renewal,insurance_renewal,en
Help needed in paying insurance premium,insurance_renewal,en
premium payment to be done. Can you help?,insurance_renewal,en
Can you help me pay LIC premium?,insurance_renewal,en
How much premium is to be paid for renewal?,insurance_renewal,en
Insurance installment to be paid,insurance_renewal,en
LIC installment is to be paid,insurance_renewal,en
when is my policy due for renewal?,insurance_renewal,en
I need to make a payment for my insurance plan,insurance_renewal,en
I'd like to pay for my endowment plan premium,insurance_renewal,en
